LavatoryID,STR,PostalCode,Country,LON,LAT,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal
Wall_122527,Skalitzer Str. ggü. 6 (0-24 Uhr),10997,Deutschland,13.4303110155598,52.4999602368727,1,1,"0,5",1,1,0,0,1,0
Wall_122528,Alfred-Scholz-Platz. Richardstr. 1 (0-24 Uhr),12043,Deutschland,13.438141,52.478802,1,1,"0,5",1,1,0,0,1,0
Wall_122529,Ludwigkirchplatz 12 (0-24 Uhr),10719,Deutschland,13.3223900106436,52.4971413116517,1,1,"0,5",1,1,0,0,1,0
Wall_122530,Turmstr. ggü. 20a-21 (0-24 Uhr),10178,Deutschland,13.3480949658845,52.526093090526,1,1,"0,5",1,1,0,0,1,1
Wall_122531,Invalidenstr. ggü. 44 (0-24 Uhr),10117,Deutschland,13.3781628439159,52.5289575745279,1,1,"0,5",1,1,0,0,1,1
Wall_122572,Burgstr. (James-Simon-Park) ggü. 28 (0-24 Uhr),10178,Deutschland,13.400429357,52.521999592,1,1,"0,5",1,1,0,0,1,1
Wall_122573,Potsdamer Str. 109 (0-24 Uhr),10785,Deutschland,13.3630616908073,52.4998790525937,1,1,"0,5",1,1,0,0,1,1
Wall_122574,Museumsinsel. Am Lustgarten   (0-24 Uhr),10178,Deutschland,13.3998980761,52.5194673259,1,1,"0,5",1,1,0,0,1,1
Wall_122575,Str. des 17. Juni   (0-24 Uhr),10557,Deutschland,13.3755391287496,52.5163720170624,1,1,"0,5",1,1,0,0,1,1
Wall_122576,Linkstr. ggü. 10 (0-24 Uhr),10785,Deutschland,13.3742894166,52.5055704086,1,1,"0,5",1,1,0,0,1,1
Wall_122579,Leopoldplatz. Müllerstr. ggü. 150 (0-24 Uhr),13353,Deutschland,13.3586066,52.5470043,1,1,"0,5",1,1,0,0,1,1
Wall_122580,Ungarnstr. ggü. 58 (0-24 Uhr),13349,Deutschland,13.35593646,52.555437,1,1,"0,5",1,1,0,0,1,1
Wall_122585,Greenwichpromenade   (0-24 Uhr),13507,Deutschland,13.2725972163991,52.5890975626873,1,1,"0,5",1,1,0,0,1,0
Wall_122586,Wittenbergplatz. Ansbacher Str. ggü. 24 (0-24 Uhr),10789,Deutschland,13.3427270609067,52.5024676291825,1,1,"0,5",1,1,0,0,1,0
Wall_122587,Mariendorfer Damm 90 (0-24 Uhr),12099,Deutschland,13.3856663883506,52.4443831917401,1,1,"0,5",1,1,0,0,1,1
Wall_122588,S-u. U-Bhf. Tempelhof. Tempelhofer Damm 108 (0-24 Uhr),12099,Deutschland,13.385392,52.470273,1,1,"0,5",1,1,0,0,1,0
Wall_122589,Klausenerplatz ggü. 23 (0-24 Uhr),14059,Deutschland,13.290356505,52.51879627,1,1,"0,5",1,1,0,0,1,1
Wall_122590,Hans-Rosenthal-Platz . Kufsteiner Str.   (0-24 Uhr),10825,Deutschland,13.33693,52.480497,1,1,"0,5",1,1,0,0,1,1
Wall_122608,Trakehner Allee vor ggü. 3 (0-24 Uhr),14053,Deutschland,13.2435201,52.512991,1,1,"0,5",1,1,0,0,1,0
